line_no	act	measure	matched	text
131	1	274	1	Hörst Du, es wandert was mit uns da unten!
133	1	278	1	Fort, fort!
137	1	279	1	He, bist Du toll?
141	1	281	1	's ist kurios still. Und schwül. Man möchte den Atem anhalten…
145	1	285	1	Was?
150	1	287	1	Ein Feuer! Ein Feuer! Das fährt von der Erde in den Himmel und ein Getös' herunter wie Posaunen. Wie's heranklirrt!
154	1	300	1	Die Sonn' ist unter, drinnen trommeln sie.
157	1	302	1	Still, alles still, als wäre die Welt tot.
160	1	305	1	Nacht! Wir müssen heim!
172	1	307	1	Tschin Bum, Tschin Bum, Bum, Bum, Bum! Hörst Bub? Da kommen sie!
178	1	325	1	Was ein Mann! Wie ein Baum!
182	1	325	1	Er steht auf seinen Füssen wie ein Löw'.
187	1	327	1	Ei was freundliche Augen, Frau Nachbarin! So was is man an ihr nit gewohnt!
191	1	330	1	Soldaten, Soldaten
192	1	331	1	sind schöne Burschen!
195	1	332	1	Ihre Augen glänzen ja!
198	1	333	1	Und wenn! Was geht Sie's an? Trag' Sie ihre Augen zum Juden und lass Sie sie putzen: vielleicht glänzen sie auch noch, dass man sie für zwei Knöpf' verkaufen könnt'.
201	1	363	1	Was Sie, Sie »Frau Jungfer«! Ich bin eine honette Person, aber Sie, das weiss Jeder, Sie guckt sieben Paar lederne Hosen durch!
205	1	364	1	Luder!
207	1	364	1	Komm, mein Bub! Was die Leute wollen! Bist nur ein arm' Hurenkind und machst Deiner Mutter doch so viel Freud' mit Deinem unehrlichen Gesicht!
209	1	370	1	Eia popeia…
210	1	372	1	Mädel, was fangst Du jetzt an?
211	1	374	1	Hast ein klein Kind und kein Mann!
212	1	375	1	Ei, was frag' ich darnach,
213	1	377	1	Sing' ich die ganze Nacht:
214	1	380	1	Eia popeia, mein süsser Bu',
215	1	384	1	Gibt mir kein Mensch nix dazu!
217	1	388	1	Hansel, spann' Deine sechs Schimmel an,
218	1	390	1	Gib sie zu fressen auf's neu,
219	1	392	1	Kein Haber fresse sie,
220	1	394	1	Kein Wasser saufe sie,
221	1	396	1	Lauter kühle Wein muss es sein!
225	1	400	1	Lauter kühle Wein muss es sein!
230	1	427	1	Wer da?
232	1	428	1	Bist Du's, Franz?
234	1	428	1	Komm herein!
237	1	429	1	Kann nit! Muss in die Kasern'!
240	1	430	1	Hast Stecken geschnitten für den Major?
243	1	431	1	Ja, Marie. Ach ...
246	1	431	1	Was hast Du, Franz? Du siehst so verstört?
249	1	433	1	Pst, still! Ich hab's heraus! Es war ein Gebild am Himmel, und Alles in Glut! Ich bin Vielem auf der Spur!
252	1	435	0	Mann!
255	1	439	1	Und jetzt Alles finster, finster… Marie, es war wieder was,
257	1	442	1	vielleicht…
259	1	443	1	Steht nicht geschrieben: »Und sieh, es ging der Rauch auf vom Land, wie ein Rauch vom Ofen.«
262	1	447	1	Franz!
265	1	447	1	Es ist hinter mir hergegangen bis vor die Stadt.
267	1	449	1	Was soll das werden?!
271	1	450	1	Franz! Franz!
273	1	451	1	Dein Bub!
277	1	452	1	Mein Bub...
279	1	453	1	Mein Bub… jetzt muss ich fort.
284	1	456	1	Der Mann! So vergeistert! Er hat sein Kind nicht angesehn! Er schnappt noch über mit den Gedanken! Was bist so still, Bub. Fürch'st Dich? Es wird so dunkel, man meint, man wird blind; sonst scheint doch die Lantern' herein!
286	1	467	1	Ach! Wir arme Leut. Ich halt's nit aus. Es schauert mich!
296	1	488	1	Was erleb' ich, Wozzeck? Ein Mann ein Wort? Ei, ei, ei!
299	1	489	1	Was denn, Herr Doktor?
302	1	490	1	Ich hab's geseh'n, Wozzeck, Er hat wieder gehustet, auf der Strasse gehustet, gebellt wie ein Hund! Geh' ich Ihm dafür alle Tage drei Groschen? Wozzeck! Das ist schlecht! Die Welt ist schlecht, sehr schlecht! Oh!
305	1	495	1	Aber Herr Doktor, wenn einem die Natur kommt!
309	1	495	1	Die Natur kommt! Die Natur kommt! Aberglaube, abscheulicher Aberglaube! Hab' ich nicht nachgewiesen, dass das Zwerchfell dem Willen unterworfen ist?
311	1	499	1	Die Natur, Wozzeck! Der Mensch ist frei! In dem Menschen verklärt sich die Individualität zur Freiheit!
313	1	502	1	Husten müssen!
315	1	503	1	Hat Er schon seine Bohnen gegessen, Wozzeck? Nichts als Bohnen, nichts als Hülsenfrüchte! Merk' Er sich's! Die nächste Woche fangen wir dann mit Schöpsenfleisch an. Es gibt eine Revolution in der Wissenschaft:
317	1	512	1	Eiweiss, Fette, Kohlenhydrate; und zwar: Oxyaldehydanhydride…
319	1	515	1	Aber, Er hat wieder gehustet!
321	1	517	1	Nein! Ich ärgere mich nicht, ärgern ist ungesund, ist unwissenschaftlich! Ich bin ganz ruhig, mein Puls hat seine gewöhnlichen Sechzig, behüt, wer wird sich über einen Menschen ärgern! Wenn es noch ein Molch wäre, der einem unpässlich wird.
323	1	523	1	Aber, aber, Wozzeck, Er hätte doch nicht husten sollen!
327	1	523	1	Seh'n Sie, Herr Doktor, manchmal hat man so 'nen Charakter, so 'ne Struktur; aber mit der Natur ist's was ander's.
329	1	528	1	Seh'n Sie, mit der Natur… das ist so… wie soll ich denn sagen… zum Beispiel: Wenn die Natur…
332	1	531	1	Wozzeck, Er philosophiert wieder! Was? Wenn die Natur…
335	1	531	1	wenn die Natur aus ist, wenn die Welt so finster wird, dass man mit den Händen an ihr herumtappen muss, dass man meint, sie verrinnt wie Spinnengewebe. Ach, wenn was is und doch nicht is! Ach, Ach, Marie! Wenn Alles dunkel is, und
337	1	542	1	nur noch ein roter Schein im Westen, wie von einer Esse: an was soll man sich da halten?
340	1	545	1	Kerl, Er tastet mit seinen Füssen herum, wie mit Spinnenfüssen.
344	1	546	1	Herr Doktor. Wenn die Sonne im Mittag steht, und es ist, als ging' die Welt in Feuer auf, hat schon eine fürchterliche Stimme zu mir geredet.
347	1	554	1	Wozzeck, Er hat eine Aberratio ...
351	1	554	1	Die Schwämme! Haben Sie schon die Ringe von den Schwämmen am Boden gesehn? Linienkreise… Figuren… Wer das lesen könnte!
354	1	562	1	Wozzeck, Er kommt ins Narrenhaus. Er hat eine schöne fixe Idee, eine köstliche Aberratio mentalis partialis, zweite Spezies! Sehr schön ausgebildet! Wozzeck, Er kriegt noch mehr Zulage! Tut Er noch Alles wie sonst?: Rasiert seinen Hauptmann? Fängt fleissig Molche? Isst seine Bohnen?
357	1	591	1	Immer ordentlich, Herr Doktor; denn das Menagegeld kriegt das Weib: Darum tu' ich's ja!
360	1	599	1	Er ist ein intressanter Fall, halt' Er sich nur brav! Wozzeck, Er kriegt noch einen Groschen mehr Zulage. Was muss Er aber tun? Was muss Er tun? Was?
364	1	611	1	Ach, Marie!
367	1	612	1	Bohnen essen, dann Schöpsenfleisch essen, nicht husten, seinen Hauptmann rasieren, dazwischen die fixe Idee pflegen!
369	1	621	1	Oh! meine Theorie! Oh mein Ruhm! Ich werde unsterblich! Unsterblich! Unsterblich!
371	1	640	1	Unsterblich!
373	1	642	1	Wozzeck, zeig' Er mir jetzt die Zunge!
383	1	667	1	Geh einmal vor Dich hin .
385	1	669	1	Über die Brust wie ein Stier und ein Bart wie ein Löwe. So ist Keiner! Ich bin stolz vor allen Weibern!
388	1	677	1	Wenn ich erst am Sonntag den grossen Federbusch hab', und die weissen Handschuh! Donnerwetter! Der Prinz sagt immer: »Mensch! Er ist ein Kerl!«
392	1	684	1	Ach was!
394	1	686	1	Mann!
397	1	687	1	Und Du bist auch ein Weibsbild! Sapperment! Wir wollen eine Zucht von Tambourmajors anlegen. Was?!
401	1	696	1	Lass mich!
405	1	698	1	WildesTier!
409	1	698	1	Rühr mich nicht an!
413	1	702	1	Sieht Dir der Teufel aus den Augen?!
417	1	708	1	Meinetwegen, es ist Alles eins!
426	2	14	1	Was die Steine glänzen? Was sind's für weiche? Was hat er gesagt?
428	2	29	1	Schlaf, Bub! Drück die Augen zu ...
430	2	32	1	Fest. Noch fester! Bleib so!
432	2	37	1	Still, oder er holt Dich!
434	2	40	1	Mädel, mach's Lädel zu!
435	2	45	1	's kommt ein Zigeunerbu',
436	2	47	1	Führt Dich an seiner Hand
437	2	49	1	Fort ins Zigeunerland.
439	2	57	1	's ist gewiss Gold. Unsereins hat nur ein Eckchen in der Weit und ein Stückchen Spiegel.
441	2	69	1	Und doch hab' ich einen so roten Mund, als die grossen Madamen mit ihren Spiegeln von oben bis unten und ihren schönen Herrn, die ihnen die Hände küssen; aber ich bin nur ein armes Weibsbild!
443	2	81	1	Still! Bub! Die Augen zu!
445	2	85	1	Das Schlafengelchen; wie's an der Wand läuft.
447	2	90	1	Mach die Augen zu! Oder es sieht Dir hinein, dass Du blind wirst ...
452	2	97	1	Was hast da?
455	2	99	1	Nix!
458	2	99	1	Unter Deinen Fingern glänzt's ja.
461	2	101	1	Ein Ohrringlein… hab's gefunden…
465	2	102	1	Ich hab so was noch nicht gefunden,
467	2	104	1	zwei auf einmal.
470	2	105	1	Bin ich ein schlecht Mensch?
474	2	106	1	's ist gut, Marie! 's ist gut
476	2	109	1	Was der Bub immer schläft! Greif ihm unter's Ärmchen, der Stuhl drückt ihn. Die hellen Tropfen stehn ihm auf der Stirn ... Nichts als Arbeit unter der Sonne, sogar Schweiss im Schlaf. Wir arme Leut!
478	2	117	1	Da ist wieder Geld, Marie,
480	2	118	1	die Löhnung und was vom Hauptmann und vom Doktor.
483	2	121	1	Gott vergelts, Franz.
486	2	121	1	Ich muss fort, Marie ... Adies!
491	2	126	1	Ich bin doch ein schlecht Mensch. Ich könnt mich erstechen. Ach! was Welt! Geht doch Alles zum Teufel: Mann und Weib und Kind!
500	2	140	1	Wohin so eilig, geehrtester Herr Sargnagel?
504	2	176	1	Wohin so langsam, geehrtester Herr Exercizengel?
507	2	178	1	Nehmen Sie sich Zeit
511	2	178	1	Pressiert!
514	2	179	1	Laufen Sie nicht so! Uff!
516	2	180	1	Laufen Sie nicht! Ein guter Mensch geht nicht so schnell. Ein guter Mensch…
519	2	181	1	Pressiert, pressiert!
522	2	182	1	Ein guter… Sie hetzen sich ja hinter dem Tod d'rein!
526	2	183	1	Ich kann meine Zeit nicht stehlen.
529	2	184	1	Ein guter Mensch ...
532	2	184	1	Pressiert, pressiert, pressiert!
536	2	185	1	Aber rennen Sie nicht so, Herr Sargnagel! Sie schleifen ja Ihre Beine auf dem Pflaster ab.
538	2	188	1	Erlauben Sie, dass ich ein Menschenleben
540	2	190	1	rette
545	2	193	1	Frau, in vier Wochen tot!
547	2	194	1	Cancer uteri. Habe schon zwanzig solche Patienten gehabt
549	2	196	1	In vier Wochen ...
552	2	196	1	Doktor, erschrecken Sie mich nicht! Es sind schon Leute am Schreck gestorben, am puren hellen Schreck!
555	2	199	1	In vier Wochen! Gibt ein intressantes Präparat.
558	2	202	1	Oh, oh, oh!
562	2	203	1	Und Sie selbst! Hm! Aufgedunsen, fett, dicker Hals, apoplektische Konstitution! Ja, Herr Hauptmann,
564	2	218	1	Sie können eine Apoplexia cerebri kriegen; Sie können sie aber vielleicht nur auf der einen Seite bekommen. Ja! Sie können nur auf der einen Seite gelähmt werden,
566	2	228	1	oder im besten Fall nur unten!
570	2	231	1	Um Gottes…
574	2	232	1	Ja! Das sind so ungefähr Ihre Aussichten auf die nächsten vier Wochen! Übrigens kann ich Sie versichern, dass Sie einen von den interessanten Fällen abgeben werden, und wenn Gott will, dass ihre Zunge zum Teil gelähmt wird, so machen wir die unsterblichsten Experimente.
578	2	249	1	Halt, Doktor! Ich lasse Sie nicht! Sargnagel! Totenfreund! In vier Wochen?
580	2	255	1	Es sind schon Leute am puren Schreck ... Doktor!
582	2	262	1	Ich sehe schon die Leute mit den Sacktüchern vor den Augen.
584	2	267	1	Aber sie werden sagen: »Er war ein guter Mensch, ein guter Mensch.«
589	2	272	1	He, Wozzeck!
591	2	273	1	Was hetzt Er sich so an uns vorbei?
593	2	275	1	Bleib Er doch, Wozzeck!
599	2	277	1	Er läuft ja wie ein offenes Rasiermesser durch die Weit, man schneidet sich an Ihm!
601	2	281	1	Er läuft, als hätt' er die Vollbärte aller Universitäten zu rasieren, und würde gehängt, so lang noch ein letztes Haar…
604	2	287	1	Ja richtig,
606	2	288	1	die langen Bärte ... was wollte ich doch sagen?
608	2	291	1	die langen Bärte ...
612	2	293	1	»Ein langer Bart unter dem Kinn« ... hm! … schon Plinius spricht davon.
614	2	296	1	Man muss ihn den Soldaten abgewöhnen…
618	2	296	1	Ha! Ich hab's ... die langen Bärte! Was ist's, Wozzeck?
622	2	298	1	Hat Er nicht ein Haar aus einem Bart in seiner Schüssel gefunden? Haha! Er versteht mich doch? Ein Haar von einem Menschen, vom Bart eines Sappeurs, oder eines Unteroffiziers, oder eines Tambourmajors.
625	2	308	1	He, Wozzeck? Aber Er hat doch ein braves Weib?
628	2	313	1	Was wollen Sie damit sagen, Herr Doktor, und Sie, Herr Hauptmann?!
631	2	317	1	Was der Kerl für ein Gesicht macht! Nun! Wenn auch nicht grad in der Suppe, aber wenn Er sich eilt und um die Ecke läuft, so kann Er vielleicht noch auf einem Paar Lippen eins finden! Ein Haar nämlich! Übrigens, ein Paar Lippen! Oh, ich habe auch einmal die Liebe gefühlt! - Aber, Kerl, Er ist ja kreideweiss!
634	2	330	1	Herr Hauptmann, ich bin ein armer Teufel! Hab' sonst nichts auf dieser Welt! Herr Hauptmann, wenn Sie Spass machen ...
638	2	334	1	Spass? Ich? Dass Dich der …
641	2	334	1	Herr Hauptmann, die Erd' ist Manchem höllenheiss ...
644	2	335	1	Spass, Kerl? will Er sich erschiessen?
647	2	336	1	... die Hölle ist kalt dagegen.
650	2	337	1	Den Puls, Wozzeck!
652	2	337	1	Klein … hart … arhythmisch.
655	2	338	1	Er sticht mich ja mit seinen Augen!
658	2	338	1	Herr Hauptmann ...
662	2	338	1	Ich mein's gut mit Ihm, weil Er ein guter Mensch ist ...
666	2	339	1	Es ist viel möglich ...
670	2	339	1	GesichtsmuskeIn starr, gespannt, Augen stier.
674	2	340	1	... Wozzeck, ein guter Mensch ...
677	2	340	1	Der Mensch ... es ist viel möglich ... Gott im Himmel! Man könnte Lust bekommen, sich aufzuhängen! Dann wüsste man, woran man ist!
682	2	347	1	Wie der Kerl läuft und sein Schatten hinterdrein!
685	2	349	1	Er ist ein Phänomen, dieser Wozzeck!
688	2	351	1	Mir wird ganz schwindlich vor dem Menschen! Und wie verzweifelt! Das hab' ich nicht gern! Ein guter Mensch ist dankbar gegen Gott; ein guter Mensch hat auch keine Courage!
690	2	358	1	Nur ein Hundsfott hat Courage!
692	2	360	1	Nur ein Hundsfott! ...
694	2	362	1	Hundsfott ...
702	2	374	1	Guten Tag, Franz.
706	2	375	1	Ich seh' nichts, ich seh' nichts. O, man müsst's seh'n, man müsst's greifen können mit den Fäusten!
709	2	377	1	Was hast, Franz?
712	2	378	1	Bist Du's noch, Marie?! Eine Sünde, so dick und breit. Das müsst' stinken, dass man die Engel zum Himmel hinausräuchern könnt'. Aber Du hast einen roten Mund, einen roten Mund ... keine Blase drauf?
715	2	383	1	Du bist hirnwütig, Franz, ich fürcht' mich ...
718	2	384	1	Du bist schön »wie die Sünde«. Aber kann die Todsünde so schön sein, Marie?
720	2	387	1	Da! Hat er da gestanden,
722	2	387	1	so, so?
725	2	388	1	Ich kann den Leuten die Gasse nicht verbieten.
728	2	389	1	Teufel! Hat er da gestanden?
731	2	390	1	Dieweil der Tag lang und die Weit alt ist, können viele Menschen an einem Platze stehn, einer nach dem andern.
734	2	392	1	Ich hab ihn gesehn!
737	2	392	1	Man kann viel sehn, wenn man zwei Augen hat und wenn man nicht blind ist und wenn die Sonne scheint.
741	2	394	1	Du bei ihm!
744	2	394	1	Und wenn auch!
748	2	394	1	Mensch!
751	2	394	1	Rühr' mich nicht an!
753	2	395	1	Lieber ein Messer in den Leib, als eine Hand auf mich. Mein Vater hat's nicht gewagt, wie ich zehn Jahr alt war ...
758	2	398	1	»Lieber ein Messer« ...
760	2	400	1	Der Mensch ist ein Abgrund, es schwindelt Einem, wenn man hinunterschaut
762	2	401	1	mich schwindelt ...
770	2	442	1	Ich hab' ein Hemdlein an, das ist nicht mein,
773	2	444	1	Das ist nicht mein ...
776	2	445	1	Und meine Seele stinkt nach Branntewein.
781	2	452	1	Meine Seele, meine unsterbliche Seele, stinket nach Branntewein! Sie stinket, und ich weiss nicht, warum? Warum ist die Welt so traurig? Selbst das Geld geht in Verwesung über!
784	2	464	1	Vergiss mein nicht! Bruder! Freundschaft!
786	2	466	1	Warum ist die Welt so schön! Ich wollt', unsre Nasen wären zwei Bouteillen, und wir könnten sie uns einander in den Hals giessen. Die ganze Welt ist rosenrot! Branntwein, das ist mein Leben!
789	2	471	1	Meine Seele, meine unsterbliche Seele stinket. Oh! Das ist traurig, traurig, traurig, trau-
795	2	478	1	Er! Sie! Teufel!
799	2	496	1	Immerzu, immerzu!
802	2	504	1	Immer zu, immer zu!«
804	2	511	1	Dreht Euch! Wälzt Euch! Warum löscht Gott die Sonne nicht aus? ... Alles wälzt sich in Unzucht übereinander: Mann und Weib, Mensch und Vieh!
806	2	531	1	Weib! Weib! Das Weib ist heiss! ist heiss! heiss!
808	2	543	1	Wie er an ihr herumgreift! An ihrem Leib! Und sie lacht dazu!
811	2	559	1	Immer zu! Immer zu!
815	2	559	1	Verdammt!
817	2	559	1	Ich ...
821	2	560	1	Ein Jäger aus der Pfalz
822	2	562	1	Ritt einst durch einen grünen Wald!
823	2	566	1	Halli, Hallo, Halli, Hallo!
824	2	568	1	Ja lustig ist die Jägerei,
825	2	571	1	Allhie auf grüner
826	2	572	1	Haid! Halli, Hallo! Halli, Hallo!
830	2	574	1	O Tochter, liebe Tochter,
831	2	577	1	Was hast Du gedenkt,
832	2	578	1	Dass Du Dich an die Kutscher
833	2	579	1	Und die Fuhrknecht hast gehängt?
834	2	581	1	Hallo!
837	2	581	1	Ja lustig ist die Jägerei,
838	2	583	1	Allhie auf grüner Haid!
839	2	586	1	Halli, Hallo! Halli, Hallo!
842	2	587	1	Hallo!
846	2	591	1	Wieviel Uhr?
849	2	592	1	Elf Uhr!
852	2	592	1	So? Ich meint', es müsst später sein! Die Zeit wird Einem lang bei der Kurzweil ...
855	2	594	1	Was sitzest Du da vor der Tür?
858	2	595	1	Ich sitz' gut da. Es sind manche Leut' nah an der Tür und wissen's nicht, bis man sie zur Tür hinausträgt, die Füss' voran!
861	2	600	1	Du sitzest hart.
864	2	600	1	Gut sitz' ich, und im kühlen Grab, da lieg' ich dann noch besser ...
867	2	603	1	Bist besoffen?
870	2	603	1	Nein, leider, bring's nit z'sam,
875	2	605	1	Jedoch, wenn ein Wanderer, der gelehnt steht an dem Strom der Zeit, oder aber sich die göttliche Weisheit vergegenwärtigt und fraget: Warum ist der Mensch?
877	2	625	1	Aber wahrlich, geliebte Zuhörer, ich sage Euch:
879	2	627	1	Es ist gut so! Denn von was hätten der Landmann, der Fassbinder, der Schneider, der Arzt leben sollen, wenn Gott den Menschen nicht geschaffen hätte? Von was hätte der Schneider leben sollen, wenn Er nicht dem Menschen die Empfindung der Schamhaftigkeit eingepflanzt hätte? Von was der Soldat und der Wirt, wenn Er ihn nicht mit dem Bedürfnis des Totschiessens und der Feuchtigkeit ausgerüstet hätte? Darum, Geliebteste, zweifelt nicht; denn es ist Alles lieblich und fein ... Aber alles Irdische ist eitel; selbst das Geld geht in Verwesung über ... Und meine Seele stinkt nach Branntewein.
884	2	684	1	Ja lustig ist die Jägerei,
887	2	692	1	O Tochter, liebe Tochter!
892	2	698	1	Lustig, lustig ...
897	2	714	1	... aber es riecht …
900	2	718	1	Narr, was willst Du?
903	2	724	1	Ich riech, ich riech Blut!
906	2	734	1	Blut? ... Blut, Blut!
911	2	734	1	Mir wird rot vor den Augen. Mir ist, als wälzten sie sich alle übereinander ...
920	2	742	1	Oh! oh!
922	2	744	1	Andres! Ich kann nicht schlafen.
927	2	745	1	Wenn ich die Augen zumach', dann seh' ich sie doch immer, und ich hör' die Geigen immerzu, immerzu. Und dann spricht's aus der Wand heraus ... Hörst Du nix, Andres? Wie das geigt und springt?
930	2	750	1	Lass sie tanzen!
933	2	750	1	Und dazwischen blitzt es immer vor den Augen wie ein Messer, wie ein breites Messer!
936	2	752	1	Schlaf, Narr!
939	2	753	1	Mein Herr und Gott,
941	2	756	1	»und führe uns nicht in Versuchung, Amen!«
947	2	762	1	Ich bin ein Mann! Ich hab' ein Weibsbild, ich sag' Ihm, ein Weibsbild! Zur Zucht von Tarnbourmajors! Ein Busen und Schenkel! und alles fest. Die Augen wie glühende Kohlen. Kurzum ein Weibsbild, ich sag' Ihm ...
950	2	774	1	He! Wer ist es denn?
953	2	776	1	Frag' Er den Wozzeck da!
955	2	778	1	Da, Kerl, sauf'! Ich wollt', die Welt wär Schnaps, Schnaps, der Mann muss saufen!
957	2	783	1	Sauf', Kerl, sauf'!
962	2	785	1	Kerl, soll ich Dir die Zung' aus dem Hals zieh'n und sie Dir um den Leib wickeln?
964	2	792	1	Soll ich Dir noch so viel Atem lassen, als ein Altweiberfurz?
966	2	796	1	Soll ich ...
968	2	800	1	Jetzt soll der Kerl pfeifen!
970	2	801	1	Dunkelblau soll er sich pfeifen!
972	2	806	1	Was bin ich für ein Mann!
977	2	811	1	Der hat sein Fett!
981	2	811	1	Er blut' . . .
985	2	812	1	Einer nach dem Andern!
994	2	814	1	Und ist kein Betrug in seinem Munde erfunden worden« ... Herr-Gott! Herr-Gott! Sieh' mich nicht an!
996	3	12	1	»Aber die Pharisäer brachten ein Weib zu ihm, so im Ehebruch lebte. Jesus aber sprach: "So verdamme ich dich auch nicht, geh' hin, und sündige hinfort nicht mehr." « Herr-Gott!
998	3	21	1	Der Bub' gibt mir einen Stich in's Herz. Fort!
1000	3	25	1	Das brüst' sich in der Sonne!
1002	3	30	1	Nein, komm, komm her!
1004	3	32	1	Komm zu mir! »Es war einmal ein armes Kind und hatt' keinen Vater und keine Mutter ... war Alles tot und war Niemand auf der Welt, und es hat gehungert und geweint Tag und Nacht. Und weil es Niemand mehr hatt' auf der Welt ... « Der Franz ist nit kommen, gestern nit, heut' nit ...
1006	3	49	1	Wie steht es geschrieben von der Magdalena? . . . »Und kniete hin zu seinen Füssen und weinte und küsste seine Füsse und netzte sie mit Tränen und salbte sie mit Salben.«
1008	3	57	1	Heiland! Ich möchte Dir die Füsse salben! Heiland! Du hast Dich ihrer erbarmt, erbarme Dich auch meiner!
1016	3	73	1	Dort links geht's in die Stadt. 's ist noch weit. Komm schneller!
1019	3	75	1	Du sollst dableiben, Marie. Komm, setz' Dich.
1022	3	76	1	Aber ich muss fort.
1025	3	76	1	Komm.
1027	3	76	1	Bist weit gegangen, Marie. Sollst Dir die Füsse nicht mehr wund laufen. 's ist still hier! Und so dunkel. - Weisst noch, Marie, wie lang' es jetzt ist, dass wir uns kennen?
1030	3	81	1	Zu Pfingsten drei Jahre.
1033	3	83	1	Und was meinst, wie lang' es noch dauern wird?
1037	3	83	1	Ich muss fort.
1040	3	84	1	Fürchst Dich, Marie? Und bist doch fromm?
1042	3	84	1	Und gut! Und treu!
1044	3	86	1	Was Du für süsse Lippen hast, Marie!
