start	end	text
1975860	1980660	Er ist ein interessanter Fall, halb er sich nur klar.
1980660	1988620	Verzeckt, er kriegt noch einen Groschen mehr Zulage, was muss er aber tun?
1988860	1993600	Ach Marie, was muss er tun?
1993660	1998400	Marie, was?
1998400	2015900	Wohlen, essen, dann schöpst du Fleisch essen, ist bisschen seinen Hauptmann, dazwischen die fixe Idee fliegen.
2015900	2040480	Oh, meine Theorie, oh mein Glauben, ich werde unsterblich, unsterblich, unsterblich.
2040480	2050120	Verzeckt, zeig er mir jetzt die Zunge.
2070480	2077480	Oh, meine Theorie, oh mein Glauben, ich werde unsterblich, unsterblich, unsterblich, unsterblich, unsterblich, unsterblich, unsterblich.
2077480	2107460	Herzig empfiegt, die Zunge 66.
2107480	2114480	Musik
2137480	2140480	Musik
2167480	2170480	Musik
2197480	2200480	Musik
2227480	2229480	Musik
2229480	2230480	Musik
2230480	2231480	Musik
2231480	2232480	Musik
2232480	2234480	Musik
2234480	2235480	Musik
2235480	2236480	Musik
2236480	2238480	Musik
2238480	2240480	Musik
2240480	2241480	Musik
2241480	2242480	Musik
2242480	2244480	Musik
2244480	2249480	Musik
2249480	2250480	Musik
2250480	2251480	Musik
2251480	2252480	Musik
2252480	2254480	Musik
2254480	2257480	Musik
2257480	2287460	Untertitelung des ZDF, 2020
2287480	2317460	ZDF, 2020
2317480	2347460	ZDF, 2020
2347460	2359460	ZDF, 2020
2359460	2361460	ZDF, 2020
2361460	2363460	ZDF, 2020
2363460	2365460	ZDF, 2020
2365460	2367460	ZDF, 2020
2367460	2369460	ZDF, 2020
2369460	2371460	ZDF, 2020
2371460	2373460	ZDF, 2020
2373460	2379460	ZDF, 2020
2379460	2381460	ZDF, 2020
2381460	2383460	ZDF, 2020
2383460	2385460	ZDF, 2020
2385460	2389460	ZDF, 2020
2389460	2391460	ZDF, 2020
2391460	2393460	ZDF, 2020
2393460	2395460	ZDF, 2020
2395460	2399460	ZDF, 2020
2399460	2401460	ZDF, 2020
2401460	2403460	ZDF, 2020
2403460	2413460	ZDF, 2020
2413460	2415460	ZDF, 2020
2415460	2417460	ZDF, 2020
2417460	2419460	ZDF, 2020
2419460	2421460	ZDF, 2020
2421460	2423460	ZDF, 2020
2423460	2425460	ZDF, 2020
2425460	2427460	ZDF, 2020
2427460	2431460	ZDF, 2020
2431460	2432460	ZDF, 2020
2432460	2433460	ZDF, 2020
2433460	2435460	ZDF, 2020
2435460	2437460	ZDF, 2020
2437460	2449720	Unser Eins hat nur ein Eckchen in der Welt
2449720	2453660	und ein Stückchen Spiegel.
2456160	2461020	Und da hab ich einen so roten Mund
2461020	2465180	als die großen Madonen mit ihren Spiegeln
2465180	2472060	von oben bis unten, von den schönen Ohren
2472060	2477520	die ihnen die Hunde küsse.
2479560	2486380	Aber ich bin nur ein armes Leibsbild.
2487600	2490300	Stimm du die Augen zu,
2490300	2497180	das schlappige Schild bis an der Wand bleib.
2497180	2501180	Mach die Augen zu oder er sieht dich hinein.
2501180	2517060	Was hast du unter deinen Fingern glänzt?
2517060	2519940	Ich hab's gefunden.
2521940	2526060	Ich hab sowas noch nicht gefunden.
2526940	2528940	Zwei auf einmal.
2528940	2531940	Wie ich ein schlechter Mensch.
2531940	2533320	Sie ist gut, Marie.
2534320	2535240	Sie ist gut.
2542820	2545820	Was der Bub immer schlägt,
2546680	2548700	treib ihm um das Ärmchen.
2548980	2550420	Der Stuhl drückt ihn.
2550860	2554560	Die hellen Tropfen stehen ihm auf der Stirn.
2554560	2560720	Nichts als Arbeit unter der Sonne.
2560720	2565540	Sogar schweiß im Schlaf
2565540	2571180	wieder arme Leib.
2571180	2583720	Reist wieder Geld, Marie.
2584520	2585640	Die Löhne um.
2586420	2587700	Und was vom Hauptmann
2587700	2589780	und vom Doktor?
2590200	2592060	Gut vermählt, von uns.
2592060	2594020	Ich muss fort, Marie.
2594940	2595560	Tschüss.
2595560	2617040	Ich bin doch ein schlechter Mensch.
2617040	2620720	Ich könnte mich erstechen.
2620720	2650700	Ich bin doch ein schlechter Mensch.
2650720	2654020	Und das ist das, was er remembers all das Wasser gibt.
2654020	2655980	Ich bin doch ein schlechter Mensch.
2655980	2656860	Ich bin doch einраш sextyonblock.
2656860	2658060	Y'什 chinese Mädchen.
2658400	2664880	oc quadrantiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktiktizz
2664880	2694860	Vielen Dank.
2694880	2724860	Vielen Dank.
2724880	2726880	Vielen Dank.
2754880	2784860	Vielen Dank.
2784880	2786880	Vielen Dank.
2814880	2816880	Vielen Dank.
2844880	2851000	Sie können sie aber vielleicht nur auf der einen Seite bekommen.
2851640	2858880	Tja, sie können auch auf der einen Seite gelähmt werden.
2858880	2864880	Oder im besten Fall nur...
2864880	2870880	Um Gottes...
2870880	2878880	Tja, das sind so ungefähr Ihre Aussichten auf dem nächsten Tierhofen.
2878880	2889940	Übrigens kann ich Sie versichern, dass Sie einen von den interessanten Fällen abgeben werden.
2889940	2903940	Und wenn Gott will, dass Ihre Zunge zum Teil gelebt wird, so machen wir die unsterblichsten Experimenten.
2903940	2907940	Hei, Doktor, ich lasse Sie nicht.
2907940	2915940	Sargenagel, rote frei in vier Wochen.
2915940	2919940	Es sind schon Leute am puren Schreck.
2919940	2941940	Ich sehe schon die Leute mit dem Sacktischern vor den Augen.
2941940	2960620	Aber sie werden sagen, ihr war ein guter Mensch.
2960620	2970620	Ein guter Mensch.
2972620	2974620	Hei, Monzeck!
2974620	2980620	Was setzt er sich so an uns vorbei?
2981620	2982620	Bleibe noch!
2982620	2983620	Wo zeig?
2990620	2995620	Er läuft ja wie ein offenes Rasiermesser durch die Welt.
2995620	3002620	Und man schneidet sich an ihn!
3006620	3013620	Er läuft, als hätte er die Vollwirte aller Universitäten zu rasieren.
3014620	3018620	Und würde gehält solang noch ein letztes Haar.
3018620	3025620	Ja, richtig!
3026620	3028620	Die langen Bärte!
3029620	3032620	Was wollte ich doch sagen?
3037620	3039620	Die langen Bärte!
3039620	3040620	Was ist Wurzeck?
3040620	3056620	Hat er nicht ein Haar aus einem Bart in seiner Schüssel gefunden?
3056620	3057620	Ha, ha, ha, ha!
3057620	3058620	Er versteht mich doch!
3058620	3071620	Ein Haar von einem Menschen, vom Bart eines Affeurs oder eines Unteroffiziers oder eines
3071620	3089620	oder eines Unteroffiziers oder eines Taumvorweichers!
3089620	3090620	Ja!
3090620	3091620	Ha, ha, ha!
3091620	3092620	Ha, ha!
3092620	3093620	Ha, ha!
3093620	3096620	Ha, ha, ha!
3098620	3099620	Ne, Wozeck!
3100620	3104620	Aber er hat doch ein braves Weib!
3104620	3125700	Was wollen Sie damit sagen, Herr Doktor, und Sie, Herr Hauptmann?
3125700	3144340	Was der Kerl für ein Gesicht macht? Nun, wenn auch nicht grad in der Suppe, aber wenn er sich eilt und um die Ecke läuft,
3144340	3156080	so kann er vielleicht auf ein paar Lippen eins finden, eine Haar nehmen.
3156080	3176960	Übrigens ein paar Lippen, oh, ich habe auch einmal die Liebe gefühlt.
3176960	3189680	Aber Kerl, er ist ja grein dabei. Herr Hauptmann, ich bin ein armer Träufe, hat sonst nichts auf dieser Welt.
3190360	3199820	Herr Hauptmann, wenn Sie Spaß machen, was ich, das ist Herr, was, Kerl, die Hölle ist manchem Höllenheiß,
3199820	3209940	Herr, wird er sich erschießen, er schnippe seinen Auge, ich weiß gut wie ihm,
3209940	3212940	Es ist möglich, ich muss vertreten, es ist möglich, ich muss vertreten,
3212940	3230720	Es ist möglich, ich kann im Himmel, man könnte Lust bekommen, sie aufzuhängen,
3231720	3236900	dann wüsste man, woran man ist.
3239940	3245900	Wie der Kerl läuft, unser Schatten rittert rein,
3246780	3249940	Es ist ein Phänomen, dieser Wurzegg.
3251940	3255540	Mir wird ganz spinnig vor den Menschen,
3256820	3262940	Und wie verzweifelt, das hab ich nicht gern.
3262940	3269540	Ein guter Mensch ist dankbar gegen Gott,
3269540	3272820	Ein guter Mensch hat doch keine Korach,
3273580	3276860	Nur eine Hunsfot hat Korach.
3280540	3282540	Nur eine Hunsfot.
3287540	3288940	Hunsfot.
3288940	3293920	Mundschutz.
3294000	3295940	Vorneher.
3299940	3302940	Die Haune ist,
3303220	3304560	in der Honey-K safe.
3304560	3334540	Vielen Dank.
3334560	3364540	Vielen Dank.
3364560	3394540	Vielen Dank.
3394560	3424540	Vielen Dank.
3424560	3454540	Vielen Dank.
3454560	3484540	Vielen Dank.
3485520	3491840	Lieber ein Messer in deinem Leib, als ein Hund auf mich.
3491840	3521840	
3521840	3526840	Und dann hinunterstab mich spinnen.
3551840	3556840	Vielen Dank.
3556840	3561840	Vielen Dank.
3561840	3566840	Vielen Dank.
3566840	3571840	Vielen Dank.
3571840	3576840	Vielen Dank.
3576840	3581840	Vielen Dank.
3581840	3586840	Vielen Dank.
3586840	3587840	Vielen Dank.
3616840	3621840	Vielen Dank.
3621840	3628840	Vielen Dank.
3628840	3629840	Vielen Dank.
3629840	3631840	Vielen Dank.
3659840	3664840	Vielen Dank.
3689840	3690840	Vielen Dank.
3690840	3692840	Vielen Dank.
3720840	3722840	Vielen Dank.
3750840	3755840	Vielen Dank.
3780840	3782840	Vielen Dank.
3810840	3812840	Vielen Dank.
3840840	3841840	Vielen Dank.
3841840	3842840	Vielen Dank.
3842840	3843840	Vielen Dank.
3843840	3844840	Vielen Dank.
3844840	3845840	Vielen Dank.
3845840	3846840	Vielen Dank.
3846840	3847840	Vielen Dank.
3847840	3848840	Vielen Dank.
3848840	3849840	Vielen Dank.
3849840	3850840	Vielen Dank.
3850840	3851840	Vielen Dank.
3851840	3852840	Vielen Dank.
3852840	3853840	Vielen Dank.
3853840	3854840	Vielen Dank.
3854840	3855840	Vielen Dank.
3855840	3856840	Vielen Dank.
3856840	3857840	Vielen Dank.
3857840	3858840	Vielen Dank.
3858840	3859840	Vielen Dank.
3859840	3860840	Vielen Dank.
3860840	3861840	Vielen Dank.
3861840	3862840	Vielen Dank.
3862840	3863840	Vielen Dank.
3863840	3864840	Vielen Dank.
3864840	3865840	Vielen Dank.
3865840	3866840	Vielen Dank.
3866840	3867840	Vielen Dank.
3867840	3868840	Vielen Dank.
3868840	3869840	Vielen Dank.
3869840	3870840	Vielen Dank.
3870840	3872840	Vielen Dank.
3900840	3901840	Vielen Dank.
3901840	3902840	Vielen Dank.
3902840	3903840	Vielen Dank.
3903840	3904840	Vielen Dank.
3904840	3905840	Vielen Dank.
3905840	3907840	Vielen Dank.
3935840	3936840	Vielen Dank.
3936840	3937840	Vielen Dank.
3937840	3938840	Vielen Dank.
3938840	3939840	Vielen Dank.
3939840	3940840	Vielen Dank.
3940840	3941840	Vielen Dank.
3941840	3942840	Vielen Dank.
3942840	3943840	Vielen Dank.
3943840	3944840	Vielen Dank.
3944840	3946840	Vielen Dank.
3974840	3976840	Vielen Dank.
4004840	4006840	Vielen Dank.
4034840	4035840	Vielen Dank.
4035840	4036840	Vielen Dank.
4036840	4037840	Vielen Dank.
4037840	4038840	Vielen Dank.
4038840	4039840	Vielen Dank.
4039840	4040840	Vielen Dank.
4040840	4041840	Vielen Dank.
4041840	4043840	Vielen Dank.
4071840	4073840	Vielen Dank.
4101840	4103840	Vielen Dank.
4131840	4133840	Vielen Dank.
4161840	4163840	Vielen Dank.
4191840	4193840	Vielen Dank.
4221840	4223840	Vielen Dank.
4251840	4253840	Vielen Dank.
4281840	4283840	Vielen Dank.
4311840	4312840	Oh.
4312840	4313840	Oh.
4341840	4342840	Oh.
4342840	4343840	Andres.
4343840	4344840	Andres.
4344840	4345840	Andres.
4345840	4346840	Andres.
4346840	4348840	Andres.
4348840	4350840	Ich kann nicht schlafen.
4350840	4367840	Wenn ich die Augen zumach, dann seh ich sie da immer und ich hör die Geigen immer zu, immer zu.
4367840	4397820	Untertitelung des ZDF, 2020
4397840	4410140	Mein Herr und Gott,
4418140	4424140	umführe uns nicht in Versuchung.
4427840	4431940	Amen.
4431940	4457280	Ich bin ein Mann,
4457280	4460300	ich hab ein Weibsbild,
4460880	4463280	ich sag ihm ein Weibsbild,
4464320	4467280	tot tot von Schambu-Major.
4467280	4478580	Ein Wusen und Schenkel und alles fest,
4479080	4484640	die Augen, die glühende Kohlen,
4485040	4487180	wo du mein Weibsbild,
4487820	4488900	ich sag ihm,
4488900	4493060	hey, wer ist es denn?
4493060	4497940	Brake er den Wurzeg da.
4502340	4505020	Da, Kerl, sauf!
4506000	4508600	Ich wollte die Welt, Herr Schnaps,
4509080	4512880	Schnaps, der Mann muss saufen.
4512880	4519980	Sauf, Perl, sauf!
4525780	4526500	Perl,
4527040	4530120	soll ich die Tung aus dem Hals ziehen,
4530540	4534540	gut sie dir um den Leib wickeln.
4534540	4549120	soll ich die Welt so viel Abend lassen
4549120	4552540	als ein alt feiner Furz?
4552540	4557540	soll ich die Tung aus dem Hals ziehen,
4557540	4558540	soll ich...
4558540	4559540	soll ich...
4559540	4573880	jetzt soll der Herr peinern,
4575220	4576800	dunkelblau,
4577040	4579540	soll er sich weifen.
4579540	4594440	Was bin ich für ein Mann?
4594440	4607220	Er hat sein Fett,
4608300	4610280	er blut
4610280	4615440	ein und nach Himmel.
4615440	4642320	und ist kein Betrug
4642320	4650480	in seinem Munde erfunden worden.
4652320	4654500	Herr Gott,
4655100	4657340	Herr Gott,
4657860	4661360	zieh ich nicht an.
4672320	4687560	Aber die Pharisäer
4687560	4691320	brachten ein Weib zu ihm,
4691320	4694320	so im Ehebruch lehnte.
4698320	4702320	Jesus aber sprach,
4702320	4708320	so verdamme ich dich auch nicht.
4708320	4714320	Geh hin und sende ihn fort nicht mehr.
4714320	4727300	wieder
4727320	4729320	schreift mir
4729320	4729560	...
4729560	4730320	Weib,
4730320	4731320	gib mir ein Hebruch ins Herz...
4731320	4733320	...
4733320	4749920	Das grüßt ich in der Ferne, mein Arm, komm her, komm zu mir.
4749920	4773180	Es war einmal ein armes Kind und hat keinen Pferd und keine Mutter, armes Tod.
4773180	4786860	Und war niemand auf der Welt und es hat gehackert und gefeint.
4786860	4807280	Tag und Nacht und weil es niemand mehr auf der Welt.
4807280	4837260	Tag und Nacht und Nacht
4837260	4847460	Und weinte und küsste seine Füße
4847460	4862460	Und nützte sie mit Tränen und sagte sie mit Salmen.
4862460	4892440	Und nützte sie mit Tränen und sagte sie mit Salmen.
4892460	4922440	Und nützte sie mit Tränen und sagte sie mit Salmen.
4922460	4952440	Und sie mit Salmen.
4952440	4982420	Und sie mit Tränen und sagte sie mit Tränen und sagte sie mit Tränen.
4982420	4984420	Und sie mit Tränen und sagte sie mit Tränen.
4984420	4986420	Und sie mit Tränen und sagte sie mit Tränen und sagte sie mit Tränen.
4986420	4988420	Und sie mit Tränen und sagte sie mit Tränen.
4988420	4990420	Und sie mit Tränen und sagte sie mit Tränen und sagte sie mit Tränen.
4990420	4992420	Und sie mit Tränen und sagte sie mit Tränen und sagte sie mit Tränen.
4992420	4994420	Und sie mit Tränen und sagte sie mit Tränen.
4994420	4996420	Und sie mit Tränen und sagte sie mit Tränen.
4996420	4998420	Und sie mit Tränen und sagte sie mit Tränen.
4998420	5000420	Und sie mit Tränen und sagte sie mit Tränen.
5000420	5002420	Und sie mit Tränen und sagte sie mit Tränen.
5002420	5004420	Und sie mit Tränen und sagte sie mit Tränen.
5004420	5007760	Und sie mit Tränen und sagte sie mit Tränen.
5007760	5008420	Und sie hatten sie mit Tränen und verteilen.
5008420	5011460	Sie stell hier und so dunkel.
5011460	5037460	Und so dunkel, weiß noch Marie, wie lang es jetzt ist, dass wir uns kennen, zu Pfingsten
5037460	5039460	und vier Jahre.
5039460	5047460	Oh, was meinst, wie lang es noch dauern wird?
5047460	5049460	Ich muss fort!
5049460	5051460	Hörst es dich, Marie?
5051460	5059460	Du bist doch promm und gut und treu!
5067460	5079460	Was du für süße Lippen hast, Marie?
5079460	5107460	Den Himmel geb ich Drum und die Seligkeit, wenn ich dich noch so büssen dürr.
5107460	5115460	Aber ich darf nicht!
5115460	5119460	Was zitterst?
5119460	5133460	Wer Nacht aufhält, wer kalt ist, den friert nicht mehr.
5133460	5141460	Ich werd beim Morgenthau nicht trinken.
5141460	5145460	Was sagst du da?
5145460	5151460	Nix!
5151460	5161460	Wie der Mond rot aufgeht, wie ein blutig Eisen,
5161460	5175460	Was zitterst?
5175460	5181460	Wie ein blutig Eisen!
5184460	5185460	Was zitterst?
5189460	5191460	Was willst?
5191460	5193460	Ich nicht, Marie!
5193460	5195460	Und kein anderer!
5195460	5197460	Auch nicht!
5197460	5201460	Auch nicht!
5201460	5203460	Wie dela!
5203460	5205460	Vielen Dank.
5205460	5235440	Vielen Dank.
5235460	5265440	Vielen Dank.
5265460	5295440	Vielen Dank.
5295460	5325440	Vielen Dank.
5325460	5354260	Margrit, du bist so heiß.
5354260	5366260	Wart nur, wirst auch heilt werden.
5366260	5372260	Kannst nicht singen.
5372260	5382140	In Schwabenlein, da mag ich nicht.
5382140	5412140	
5412140	5417500	Ich bin süß, ich bin ihr Helgen.
5417500	5425500	Ich möcht euch rauchen.
5425500	5432680	Aber was hast du an der Hand?
5432680	5441680	Blut, blut, blut.
5441680	5451560	Ich glaub, ich hab mich geschnitten.
5451560	5461560	Ich hab mich geschnitten.
5461560	5462560	Ich hab mich geschnitten.
5462560	5467560	Ich hab mich geschnitten.
5467560	5477560	Ich hab mich geschnitten.
5477560	5487560	Ich hab mich geschnitten.
5487560	5497560	Ich hab mich geschnitten.
5497560	5503560	Ich hab mich geschnitten.
5503560	5504560	Ich hab mich geschnitten.
5504560	5505560	Ich hab mich geschnitten.
5505560	5506560	Ich hab mich geschnitten.
5506560	5507560	Ich hab mich geschnitten.
5507560	5508560	Ich hab mich geschnitten.
5508560	5509560	Ich hab mich geschnitten.
5509560	5510560	Ich hab mich geschnitten.
5510560	5511560	Ich hab mich geschnitten.
5511560	5514560	Ich hab mich geschnitten.
5514560	5516560	Ich hab mich geschnitten.
5516560	5517560	Ich hab mich geschnitten.
